,Member Name,Birth-Death,Position,Party,State,Election_year
576,,,,,,
577,"ROCKEFELLER, John Davison IV (Jay)",1937- ,Senator,Democrat,WV,2014.0
578,,,,,,
579,"RUBIO, Marco",1971- ,Senator,Republican,FL,2014.0
580,,,,,,
581,"SANDERS, Bernard",1941- ,Senator,Independent,VT,2014.0
582,,,,,,
583,"SCHATZ, Brian Emanuel",1972- ,Senator,Democrat,HI,2014.0
584,,,,,,
585,"SCHUMER, Charles Ellis (Chuck)",1950- ,Senator,Democrat,NY,2014.0
586,,,,,,
587,"SCOTT, Tim",1965- ,Senator,Republican,SC,2014.0
588,,,,,,
589,"SESSIONS, Jefferson Beauregard, III (Jeff)",1946- ,Senator,Republican,AL,2014.0
590,,,,,,
591,"SHAHEEN, Jeanne",1947- ,Senator,Democrat,NH,2014.0
592,,,,,,
593,"SHELBY, Richard C.",1934- ,Senator,Republican,AL,2014.0
594,,,,,,
595,"STABENOW, Deborah Ann",1950- ,Senator,Democrat,MI,2014.0
596,,,,,,
597,"TESTER, Jon",1956- ,Senator,Democrat,MT,2014.0
598,,,,,,
599,"THUNE, John",1961- ,Senator,Republican,SD,2014.0
600,,,,,,
601,"TOOMEY, Patrick Joseph",1961- ,Senator,Republican,PA,2014.0
602,,,,,,
603,"UDALL, Mark",1950- ,Senator,Democrat,CO,2014.0
604,,,,,,
605,"UDALL, Thomas (Tom)",1948- ,Senator,Democrat,NM,2014.0
606,,,,,,
607,"VITTER, David",1961- ,Senator,Republican,LA,2014.0
608,,,,,,
