"GEO_ID","NAME","B29001_001E","B29001_001M","B29001_002E","B29001_002M","B29001_003E","B29001_003M","B29001_004E","B29001_004M","B29001_005E","B29001_005M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!18 to 29 years","Margin of Error!!Total!!18 to 29 years","Estimate!!Total!!30 to 44 years","Margin of Error!!Total!!30 to 44 years","Estimate!!Total!!45 to 64 years","Margin of Error!!Total!!45 to 64 years","Estimate!!Total!!65 years and over","Margin of Error!!Total!!65 years and over"
"5001600US5309","Congressional District 9 (116th Congress), Washington","499184","11809","104339","6065","134537","6968","163081","5400","97227","4766"
"5001600US5310","Congressional District 10 (116th Congress), Washington","544552","6928","127027","3924","139911","4650","168782","4905","108832","3053"
"5001600US5401","Congressional District 1 (116th Congress), West Virginia","486327","3632","101752","2398","104414","2189","159942","2436","120219","1901"
"5001600US5402","Congressional District 2 (116th Congress), West Virginia","487208","3478","85419","2401","110323","2352","172084","2808","119382","2426"
"5001600US5403","Congressional District 3 (116th Congress), West Virginia","457623","2050","80052","1712","100024","1814","157192","1628","120355","1331"
"5001600US5501","Congressional District 1 (116th Congress), Wisconsin","539789","5165","97284","2904","122993","3597","202358","3943","117154","3281"
"5001600US5502","Congressional District 2 (116th Congress), Wisconsin","577976","3636","140415","2342","138504","1986","184902","2055","114155","1772"
"5001600US5503","Congressional District 3 (116th Congress), Wisconsin","566700","2657","132563","2376","118693","1999","186191","1906","129253","1670"
"5001600US5504","Congressional District 4 (116th Congress), Wisconsin","493143","4985","130598","2711","127685","2915","150055","3320","84805","1986"
"5001600US5505","Congressional District 5 (116th Congress), Wisconsin","558805","5239","98106","2914","131851","3250","197688","3537","131160","2994"
"5001600US5506","Congressional District 6 (116th Congress), Wisconsin","556485","2532","102408","1665","122332","2130","200105","2042","131640","1068"
"5001600US5507","Congressional District 7 (116th Congress), Wisconsin","552651","2556","86048","1610","115957","1843","206377","1798","144269","1494"
"5001600US5508","Congressional District 8 (116th Congress), Wisconsin","556205","2262","101057","1787","128912","1853","200720","1671","125516","1064"
"5001600US5600","Congressional District (at Large) (116th Congress), Wyoming","433644","2221","86967","1666","106361","1762","144337","2205","95979","1485"
"5001600US7298","Resident Commissioner District (at Large) (116th Congress), Puerto Rico","2561292","3528","514347","1413","559457","2204","833168","2317","654320","1394"
